Sensor_ID,Metered_Zone,CAT01,CAT02,CAT08,CAT10,CAT09,CAT05,CAT06,CAT07,CAT11
F16_E_148,PIANI TIPO 16/17,N,N,N,N,N,Y,N,N,N
F16_E_150,PIANI TIPO 16/17,Y,Y,N,N,N,N,N,N,N
F16_E_151,PIANI TIPO 16/17,N,N,N,Y,Y,N,N,N,N
F16_E_152,PIANI TIPO 16/17,N,N,N,Y,Y,N,N,N,N
F16_E_153,PIANI TIPO 16/17,N,N,N,Y,Y,N,N,N,N
F16_E_154,PIANI TIPO 16/17,N,N,N,N,Y,N,Y,N,N
F16_E_155,PIANI TIPO 16/17,N,N,N,N,Y,N,Y,N,N
F16_E_156,PIANI TIPO 16/17,Y,Y,N,N,N,N,N,N,N
F16_E_157,PIANI TIPO 16/17,Y,Y,N,N,N,Y,N,N,N
F16_E_158,PIANI TIPO 16/17,Y,Y,N,N,N,Y,N,N,N
F17_E_159,PIANI TIPO 16/17,N,N,N,N,Y,N,N,N,N
F17_E_160,PIANI TIPO 16/17,N,N,Y,N,N,N,N,N,N
F17_E_161,PIANI TIPO 16/17,N,N,Y,N,N,N,N,N,N
F17_E_163,PIANI TIPO 16/17,N,N,N,N,N,Y,N,N,N
F17_E_165,PIANI TIPO 16/17,Y,Y,N,N,N,N,N,N,N
F17_E_166,PIANI TIPO 16/17,N,N,N,N,Y,N,N,N,N
F17_E_167,PIANI TIPO 16/17,N,N,N,Y,Y,N,N,N,N
F17_E_168,PIANI TIPO 16/17,N,N,N,Y,Y,N,N,N,N
F17_E_169,PIANI TIPO 16/17,N,N,N,N,Y,N,Y,N,N
F17_E_170,PIANI TIPO 16/17,N,N,N,N,Y,N,Y,N,N
F17_E_171,PIANI TIPO 16/17,Y,Y,N,N,N,N,N,N,N
F17_E_172,PIANI TIPO 16/17,Y,Y,N,N,N,Y,N,N,N
F17_E_173,PIANI TIPO 16/17,Y,Y,N,N,N,Y,N,N,N
F18_E_174,UFFICI,N,N,Y,N,N,N,N,N,N
F18_E_175,UFFICI,N,N,Y,N,N,N,N,N,N
F18_E_176,UFFICI,N,N,Y,N,N,N,N,N,N
F18_E_178,UFFICI,Y,Y,N,N,N,N,N,N,N
F18_E_265,UFFICI,N,N,Y,N,N,N,N,N,N
F19_E_179,UFFICI,N,N,Y,N,N,N,N,N,N
F19_E_180,UFFICI,N,N,Y,N,N,N,N,N,N
F19_E_181,UFFICI,N,N,Y,N,N,N,N,N,N
F19_E_183,UFFICI,Y,Y,N,N,N,N,N,N,N
